SECURITY_INNER_CODE,SECURITY_CODE,SECUCODE,TRADE_DATE,SECURITY_NAME_ABBR,SUPERDEAL_INFLOW,SUPERDEAL_OUTFLOW,PRIME_INFLOW,CLOSE_PRICE,CHANGE_RATE,TRADE_MARKET_CODE,TURNOVERRATE,PRIME_COST,PE_DYNAMIC,PRIME_COST_20DAYS,PRIME_COST_60DAYS,ORG_PARTICIPATE,PARTICIPATE_TYPE,BIGDEAL_INFLOW,BIGDEAL_OUTFLOW,BUY_SUPERDEAL_RATIO,BUY_BIGDEAL_RATIO,RATIO,RATIO_3DAYS,RATIO_50DAYS,TOTALSCORE,RANK_UP,RANK,FOCUS,SECURITY_TYPE_CODE
1000327178,300481,300481.SZ,2025-02-11 00:00:00,濮阳惠成,0,1609310,-5495566,14.95,-0.6,069001002002,0.96,14.978979642298,22.11,14.595992320915,16.334196621827,0.2334048,1,11915674,15801930,0,0.2185,0.2185,0.257133333333,0.235074,56.24504931,-210,4116,69.2,058001001
1000318738,300482,300482.SZ,2025-02-11 00:00:00,万孚生物,3954161,8525983,-8220356,22.44,-1.1,069001002002,0.97,22.699672453988,18.59,22.261920051229,23.969038949745,0.259622,2,37984170,41632704,0.0247,0.2375,0.2622,0.2605,0.25186,61.02303337,1168,2853,76,058001001
1000012538,300483,300483.SZ,2025-02-11 00:00:00,首华燃气,1992520,0,-2486645,8.46,-1.74,069001002002,0.9,8.630807384507,-21.74,8.435462330382,10.168936301616,0.176788,1,4327599,8806764,0.0536,0.1164,0.17,0.176666666667,0.19394,51.05429734,-17,4939,64.4,058001001
1000310531,300484,300484.SZ,2025-02-11 00:00:00,蓝海华腾,7249883,13349122,-16488688,22.48,2.84,069001002002,7.7,21.922869668506,167.72,20.45205255305,25.168473046063,0.255514,2,51329348,61718797,0.0309,0.2187,0.2496,0.278033333333,0.23652,55.06070025,536,4356,77.6,058001001
1000316963,300485,300485.SZ,2025-02-11 00:00:00,赛升药业,0,0,-1824341,7.08,-0.7,069001002002,0.77,7.148845696365,-26.05,6.834062184823,7.562623176532,0.0847404,0,1758769,3583110,0,0.0633,0.0633,0.108933333333,0.102052,50.7395394,131,4960,68.4,058001001
1000310122,300486,300486.SZ,2025-02-11 00:00:00,东杰智能,0,4733260,-7399001,7.48,5.35,069001002002,5.59,7.064621100274,-29.7,6.756290723593,7.989651513382,0.20086,1,13669855,16335596,0,0.1834,0.1834,0.222766666667,0.21165,50.47791829,647,4978,67.6,058001001
1000326771,300487,300487.SZ,2025-02-11 00:00:00,蓝晓科技,2498507,23739969,-7838901,47.2,-0.27,069001002002,0.38,47.415791761399,30.13,47.683589885901,51.667643860934,0.2999768,2,56630598,43228037,0.0129,0.2931,0.306,0.3153,0.261934,67.32364193,584,1151,76,058001001
1000325007,300488,300488.SZ,2025-02-11 00:00:00,恒锋工具,11277838,8746729,-433065,34.12,5.8,069001002002,3.86,31.949216378222,43.87,29.297072572219,27.537879380252,0.2713532,2,43749556,46713730,0.059,0.2288,0.2878,0.275066666667,0.224666,67.607963,558,1088,74.4,058001001
1000310106,300489,300489.SZ,2025-02-11 00:00:00,光智科技,25499612,10832505,6402218,54.89,0.68,069001002002,1.8,54.599777830534,-223.98,51.953676358927,64.445936259561,0.3187316,2,46713848,54978737,0.1155,0.2116,0.3271,0.339766666667,0.266258,61.30053025,666,2769,71.2,058001001
1000310110,300490,300490.SZ,2025-02-11 00:00:00,华自科技,927864,0,183990,7.9,0.0,069001002002,0.93,7.919324257935,-16.73,7.498149790017,9.246855960895,0.1662124,1,9918372,10662246,0.0136,0.1459,0.1595,0.172933333333,0.172912,56.75764929,27,3991,71.2,058001001
1000303904,300491,300491.SZ,2025-02-11 00:00:00,通合科技,583986,1004136,2253109,20.02,20.02,069001002002,14.11,16.65159718343,125.55,16.891110671273,16.917304358148,0.16776,1,17461965,14788706,0.0052,0.1542,0.1594,0.1637,0.19475,64.74443422,-2138,1764,70.8,058001001
1000309732,300492,300492.SZ,2025-02-11 00:00:00,华图山鼎,7067237,11740146,-1814236,73.92,4.85,069001002002,0.87,70.208263950907,60.18,68.197532120127,75.014974989009,0.267478,2,19694389,16835716,0.0825,0.2298,0.3123,0.255866666667,0.17284,63.0714705,1029,2244,66.8,058001001
1000326345,300493,300493.SZ,2025-02-11 00:00:00,润欣科技,643577216,590234528,50952192,29.05,0.94,069001002002,13.43,29.266051032189,300.74,30.425575288351,25.854927926847,0.4376568,3,880921824,883312320,0.1904,0.2607,0.4511,0.415433333333,0.437384,70.01576768,-2152,694,83.6,058001001
1000310109,300494,300494.SZ,2025-02-11 00:00:00,盛天网络,67991158,96551495,-51099158,13.89,0.65,069001002002,10.11,13.866682324195,2089.34,12.444511538481,13.268299458482,0.3258596,2,208572123,231110944,0.0795,0.2438,0.3233,0.334566666667,0.319198,62.89929785,2063,2289,90,058001001
1000310541,300496,300496.SZ,2025-02-11 00:00:00,中科创达,232176582,471586176,-380393066,69.02,-0.01,069001002002,4.61,69.922229657153,156.69,61.277820625779,61.252118764067,0.3947896,2,634600688,775584160,0.0977,0.267,0.3647,0.453933333333,0.381298,66.86454726,1142,1261,94.4,058001001
1000318734,300497,300497.SZ,2025-02-11 00:00:00,富祥药业,1872452,7549059,-8996643,8.68,-0.34,069001002002,0.84,8.751809262054,-57.68,8.215043474095,10.052444000799,0.271472,2,15025008,18345044,0.0269,0.2162,0.2431,0.319733333333,0.27001,54.60714601,1448,4445,71.6,058001001
